Company,Valuation,Category,Country,Funding,Investors
17zuoye,1000,Internet Software & Services,China,385,"DST Global, Temasek Holdings"
23andMe,1615,Healthcare,United States of America,794,"Google Ventures, New Enterprise Associates, MPM Capital"
4Paradigm,1200,Internet Software & Services,China,145,"Sequoia Capital China, China Construction Bank, Bank of China"
9f Group,1000,Fintech,China,178,"China Cinda Asset Management, IDG Capital"
About You,1000,E-commerce,Germany,300,"German Media Pool, Seven Venture Capital"
ACORN OakNorth Holdings,2300,Fintech,United Kingdom,550,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Actifio,1300,Data Analytics,United States of America,308,"Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures"
Adaptive Biotechnologies,1000,Healthcare,United States of America,416,"Illumina, Celgene, Casdin Capital"
Affirm,1790,Fintech,United States of America,725,"Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund"
Afiniti,1600,Internet Software & Services,United States of America,162,GAM Holding
Age of Learning,1000,Internet Software & Services,United States of America,182,Iconiq Capital
Aihuishou,1500,E-commerce,China,278,"Morningside Ventures, JD.com, Tiantu Capital"
Aijia Life,1000,E-commerce,China,146,"Tiantu Capital, Fortune Capital, Zhenghedao Fund"
Airbnb,29252,E-commerce,United States of America,4398,"General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures"
Airtable,1100,Internet Software & Services,United States of America,163,"Caffeinated Capital, CRV, Founder Collective"
Allbirds,1400,E-commerce,United States of America,78,"Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management"
AppDirect,1000,Internet Software & Services,United States of America,250,"Mithril, iNovia Capital, Foundry Group"
AppLovin,2000,Internet Software & Services,United States of America,1385,"Orient Hontai Capital, Webb Investment Network"
Apus Group,1000,Other,China,116,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
Asana,1500,Internet Software & Services,United States of America,212,"8VC, Benchmark, Generation Investment Management"
Atom Bank,1249,Fintech,United Kingdom,514,"Toscafund Asset Management, Woodford Investment Management, BBVA"
Auris Health,1014,Healthcare,United States of America,733,"Lux Capital, Mithril Capital Management, Highland Capital Partners"
Auto1 Group,3539,E-commerce,Germany,1064,"Digital Sky Technologies, Piton Capital, DN Capital, SoftBank Group"
Automation Anywhere,2600,Internet Software & Services,United States of America,550,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Automattic,1242,Internet Software & Services,United States of America,193,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
Avaloq Group,1008,Fintech,Switzerland,300,Warbug Pincus
Avant,1896,Fintech,United States of America,1719,"RRE Ventures, Tiger Global, August Capital"
AvidXchange,1244,Fintech,United States of America,574,"Temasek Holdings, Charlotte Angel Partners, TPG Growth"
BeiBei,1000,E-commerce,China,224,"Banyan Capital, New Horizon Capital, IDG Capital Partners"
BenevolentAI,2100,Healthcare,United Kingdom,256,Woodford Investment Management
BGL Group,3000,Fintech,United Kingdom,900,CPP Investment Board
Bird Rides,2000,Travel Tech,United States of America,418,"Tusk Ventures, Craft Ventures, Sequoia Capital"
Bitmain Technologies,12000,Fintech,China,450,"Coatue Management, Sequoia Capital China, IDG Capital"
BlaBlaCar,1600,On-Demand,France,449,"Accel Partners, Index Ventures, Insight Venture Partners"
Bluehole,5000,Internet Software & Services,South Korea,48,"Tencent Holdings, Stonebridge Capital, IMM Investment"
BrewDog,1240,Other,United Kingdom,297,"TSG Consumer Partners, Crowdcube"
Brex,1100,Fintech,United States of America,182,"DST Global, Ribbit Capital, Greenoaks Capital Management"
Bukalapak,1000,E-commerce,Indonesia,50,"500 Startups, Batavia Incubator, Emtek Group"
Butterfly Network,1250,Healthcare,United States of America,350,"Bill & Melinda Gates Foundation, Aeris Capital,"
Buzzfeed,1895,Media,United States of America,497,"SV Angel, RRE Ventures, New Enterprise Associates"
BYJU's,4000,Internet Software & Services,India,850,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
Bytedance,75000,Media,China,3105,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
C3,1564,Internet Software & Services,United States of America,243,"Makena Capital Management, TPG Growth, Breyer Capital"
Cabify,1400,On-Demand,Spain,412,"Seaya Ventures, Otter Rock Capital, Rakuten"
Cambricon,2500,Hardware,China,101,"Alibaba Entrepreneurs Fund, CAS Investment Management Co., Lenovo Ventures Group"
Canva,1280,Internet Software & Services,Australia,85,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
